       0          1      2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  22
0  895001  11/8/2021  13:35  29  79  38  67  39  62  77  56  21  30  61  34  73  37  66   9   8  42  12  36
1  894807  10/8/2021  13:25  73  34   8  48  54  52   9   2  22  19  15  50  70  16  69  42  27  55  41  60
2  894406  08/8/2021  12:00  73  37  55  14  48   5  22   8  13  64   9  74  35  78  42  67  80  34  29  76
3  894396  08/8/2021  11:10  69  74  42   8  75  32  63  61  39  40  38  23   9  44  49  13  73  70  37  57
4  893779  04/8/2021  23:45  65  78  61  47  10  42   8  58  55  38  63   9  39  46  15  11  75  37  22  73
5  893645  04/8/2021  12:35  43  72  65  55  45  28  49  47  67  51  80  79  64  62  42  30  73   8   9  57
6  893057  01/8/2021  11:35  42  67  61  70  52  11  49  29  75   9  53  13  54  41   8  16   7  78  73  60
